GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,
Minnesota,41484,42331,43022,43995,44817,45295,45550,45631,46969,47529,47446,48898,47376,47679,48092,48180,48780,49684,50458,50938,51698,51773,52064,52331,52188,52240,52825,53091,53998,54104,54176,54982,55617,56328,56820,57521,57527,57670,58167,58440,59156,64787,60886,61046,67855,64959,64477,64617,
Mississippi,30580,31291,31584,31684,32399,32326,32631,32826,33443,33733,33449,33979,33963,34086,34684,34302,34465,34922,34980,35211,35196,35511,35685,35705,35898,35913,35990,36268,36677,36702,36994,37280,37430,37820,37993,38426,38826,38878,39339,39699,40120,45312,42201,41367,48762,44129,44268,44543,
Missouri,36671,37080,37320,37425,38126,38299,38717,38975,39757,40226,40013,41236,40380,40538,40622,40719,41076,41752,42285,42707,42921,43180,43489,43675,44128,44247,44446,44779,44925,45159,45431,45983,46367,47161,47392,47978,48568,48639,49053,49395,49864,54374,51055,51330,58179,54151,53894,54372,
Montana,35702,36228,36567,37027,38080,38297,38672,39164,40267,40485,40377,41572,40432,40678,40737,40855,41574,42422,42779,43151,43940,43982,44074,43706,43659,43729,44064,44745,45519,46120,46227,46591,47266,47629,47813,48489,49342,49437,50030,50492,50364,56526,52135,53057,59630,55978,55409,55644,
Nebraska,40230,41198,41556,42003,45147,45478,45844,46184,46383,46856,46029,47385,46836,46804,46695,46233,47824,49073,49081,49836,50304,50601,50822,50440,49569,49320,49252,49326,49369,49976,50273,51192,51254,51544,51932,53355,52938,52731,53718,54266,54702,59070,55734,57940,63951,61704,61597,61090,
Nevada,36770,37470,37795,37920,38537,38821,38802,38774,39538,39789,39428,40835,39302,39510,39723,40020,40669,41433,42022,42862,43959,44502,44529,44933,44683,45058,46265,45740,46886,47376,47915,47900,49137,49326,49866,50565,51417,51642,51846,52276,53228,56522,53859,53008,60479,57042,57549,57822,
New Hampshire,45880,47169,47546,47720,48337,49147,49408,49600,50351,50784,50781,52575,50404,50806,50927,51216,51498,52505,52718,53888,53609,54555,54711,55769,55557,56182,56750,56755,57541,57915,58998,59234,60384,60656,61287,61343,63201,63186,63226,63420,64521,68655,65846,66883,72665,71274,71759,72263,
New Jersey,50652,51070,51227,51306,52504,52807,53185,53294,54154,54291,54264,55553,54376,54743,54798,55306,56202,56750,57342,57932,58676,59031,59441,59507,60171,60253,60625,61000,61473,62153,62681,63267,63990,64476,65109,65432,66432,66772,66961,67237,68205,71771,70794,70434,76932,73570,74386,74271,
New Mexico,33115,33552,33939,34264,34738,34900,35186,35402,35550,35898,35518,36011,34949,35055,35066,35315,36199,36943,37535,38138,37878,38099,38080,38297,38469,38814,38866,38938,39082,39225,39523,39877,40476,40868,41405,41745,42323,42621,43148,43470,44122,48632,46355,45279,52282,47998,48360,48585,
New York,48063,49133,48928,48875,51093,50771,50896,50856,52161,52889,52646,54688,52778,53380,53567,53850,54327,54804,55632,56377,56655,57464,57947,57852,58829,58966,59250,60066,61815,62588,63203,64538,64310,64958,65490,65642,66599,67334,67437,67930,68471,74159,73018,70421,78944,75271,76055,75282,
